otel_ad,fiyat,Predicted Price (SVR & RF),Price Difference,Fair Price Percentage,Fair Price Range
The Raga Side Hotel,10485.9,14496.5,-4010.6000000000004,38.25,Significantly Overpriced
The D Hotel Ceşme Spa Resort,15915.0,10568.7,5346.299999999999,33.59,Significantly Overpriced
The Local House Alaçatı,14466.6,14282.1,184.5,1.28,Fair
Türkay Hotel,9000.0,10605.4,-1605.3999999999996,17.84,Overpriced
Send Apart Hotel,4000.0,7321.9,-3321.8999999999996,83.05,Significantly Overpriced
Via Perla Butik Otel,8010.0,9851.7,-1841.7000000000007,22.99,Significantly Overpriced
Lonicera World Hotel,8160.0,16879.8,-8719.8,106.86,Significantly Overpriced
Elamir Resort Hotel,11700.0,11827.6,-127.60000000000036,1.09,Fair
Elite World Marmaris (+16),17640.0,13527.4,4112.6,23.31,Significantly Overpriced
Royal Wings Hotel,8400.0,16769.3,-8369.3,99.63,Significantly Overpriced
Rox Royal Hotel,17529.7,13965.5,3564.2000000000007,20.33,Significantly Overpriced
Yalıhan Una Hotel,17064.0,15808.4,1255.6000000000004,7.36,Slight Overpriced
Ambassador Plaza Hotel	,13817.7,13527.4,290.3000000000011,2.1,Fair
Nasa Flora Otel,7883.5,10503.7,-2620.2000000000007,33.24,Significantly Overpriced
Viento Hotel Alaçatı,22800.0,11032.2,11767.8,51.61,Significantly Overpriced
Magna Manastır Suıt Hotel,19635.0,13401.8,6233.200000000001,31.75,Significantly Overpriced
Meis Exclusive Hotel,26460.0,19668.2,6791.799999999999,25.67,Significantly Overpriced
Ag Hotels Antalya,7012.4,7738.4,-726.0,10.35,Overpriced
Çeşme Flowers Otel,10600.0,9835.1,764.8999999999996,7.22,Slight Overpriced
Cumbalıca Beach Otel,11000.0,12136.5,-1136.5,10.33,Overpriced
Comfy Otel Antalya Lara,2016.0,6887.1,-4871.1,241.62,Significantly Overpriced
Cappari Aqua Princess Hotel,11192.8,13153.7,-1960.9000000000015,17.52,Overpriced
Kuum Hotel,6993.0,19626.1,-12633.099999999999,180.65,Significantly Overpriced
La Kumsal Hotel +12,20412.0,13527.4,6884.6,33.73,Significantly Overpriced
Royal Alhambra Palace,27300.0,22449.7,4850.299999999999,17.77,Overpriced
Villa Peri Alaçatı,12232.4,11901.1,331.2999999999993,2.71,Fair
Scylax Family Club,18291.0,15959.3,2331.7000000000007,12.75,Overpriced
Villa Oliva Butik Hotel,16689.6,13076.2,3613.399999999998,21.65,Significantly Overpriced
Alexius Beach Hotel,15000.0,13549.8,1450.2000000000007,9.67,Slight Overpriced
Cappari Aquarius Hotel,9350.0,11951.1,-2601.1000000000004,27.82,Significantly Overpriced
Via Farilya Hotel,21420.0,10616.9,10803.1,50.43,Significantly Overpriced
Sunset Hotel Marmaris,16701.6,11658.0,5043.5999999999985,30.2,Significantly Overpriced
Villamer Alaçatı,8342.4,13527.4,-5185.0,62.15,Significantly Overpriced
Get Enjoy Hotels,6138.0,10687.5,-4549.5,74.12,Significantly Overpriced
Arya Otel,7488.0,10196.4,-2708.3999999999996,36.17,Significantly Overpriced
Royal Dragon Side,29400.0,21505.8,7894.200000000001,26.85,Significantly Overpriced
Orfeus Park Hotel,12056.2,12400.7,-344.5,2.86,Fair
Vinifera Hotel Yedibilgiler Vineyards,19604.6,14093.6,5510.999999999998,28.11,Significantly Overpriced
Seaden Valentine Resort Spa,23184.0,18236.2,4947.799999999999,21.34,Significantly Overpriced
Megasaray Resort Side,13860.0,12753.3,1106.7000000000007,7.98,Slight Overpriced
Ambrosia Hotel,14000.0,14135.3,-135.29999999999927,0.97,Fair
Xanthos Boutique Hotel Patara,7299.6,10507.6,-3208.0,43.95,Significantly Overpriced
Xen Deluxe Boutique Hotel,23436.0,14703.8,8732.2,37.26,Significantly Overpriced
Phoenix Sun Hotel Bodrum,8047.0,9967.7,-1920.7000000000007,23.87,Significantly Overpriced
Anemon Ege Sağlık Oteli,12700.0,12428.3,271.7000000000007,2.14,Fair
Beetle House Coffee Hotel,6000.0,9527.5,-3527.5,58.79,Significantly Overpriced
Royal Taj Mahal,28539.0,22298.3,6240.700000000001,21.87,Significantly Overpriced
Golden Age Hotel Yalıkavak,9720.0,14383.1,-4663.1,47.97,Significantly Overpriced
Yayla Hotel,5561.6,13527.4,-7965.799999999999,143.23,Significantly Overpriced
Orfeus Queen Spa,12045.8,11975.8,70.0,0.58,Fair
Yalıkavak Marina Garden Hotel,27045.0,18644.2,8400.8,31.06,Significantly Overpriced
Anemon İzmir,12408.0,11847.8,560.2000000000007,4.51,Fair
Annabella Park Hotel,8280.0,9685.5,-1405.5,16.97,Overpriced
Yelken Beach Otel,4766.4,9404.5,-4638.1,97.31,Significantly Overpriced
Sentido Lycus Beach,18317.3,15817.4,2499.8999999999996,13.65,Overpriced
Hedef Kleopatra Hotel,10200.0,11004.1,-804.1000000000004,7.88,Slight Overpriced
Rubi Platinum Sign,35840.0,21355.4,14484.599999999999,40.41,Significantly Overpriced
Salmakis Resort Spa,20250.0,17092.2,3157.7999999999993,15.59,Overpriced
Sealife Family Resort,16426.6,15919.1,507.4999999999982,3.09,Fair
Agon Hotel,3124.0,9173.1,-6049.1,193.63,Significantly Overpriced
Yüzbaşı Beach Hotel,4352.0,12000.7,-7648.700000000001,175.75,Significantly Overpriced
Arabella World Hotel,4441.2,9711.1,-5269.900000000001,118.66,Significantly Overpriced
Alura Boutique Hotel Çeşme,27048.0,17901.2,9146.8,33.82,Significantly Overpriced
Side Square Hotel,14688.0,14715.5,-27.5,0.19,Fair
Alkan Hotel,5280.0,9081.0,-3801.0,71.99,Significantly Overpriced
Calimera Side Resort,18300.0,14308.3,3991.7000000000007,21.81,Significantly Overpriced
Seaden Sea World Resort Spa,19440.0,18422.5,1017.5,5.23,Slight Overpriced
Justiniano Club Alanya,18543.6,17677.5,866.0999999999985,4.67,Fair
Ares Blue Hotel,9888.7,10892.8,-1004.0999999999985,10.15,Overpriced
Mete Otel Bozburun,16000.0,14073.7,1926.2999999999993,12.04,Overpriced
Seher Sun Palace,36800.0,21248.7,15551.3,42.26,Significantly Overpriced
Hotel Villa Turka Alanya,10462.7,10994.8,-532.0999999999985,5.09,Slight Overpriced
Porto Fenari Köyiçi,6000.0,9126.8,-3126.7999999999993,52.11,Significantly Overpriced
Dores Residence,16142.6,12655.7,3486.8999999999996,21.6,Significantly Overpriced
Grand Faik Hotel,6539.0,8759.6,-2220.6000000000004,33.96,Significantly Overpriced
Mielo Lara Hotel,7200.0,8890.0,-1690.0,23.47,Significantly Overpriced
Grand Hekimoğlu Hotel,8000.0,8892.1,-892.1000000000004,11.15,Overpriced
Otel Zeytinada,10080.0,11639.2,-1559.2000000000007,15.47,Overpriced
Akay Garden Family Club,8400.0,9445.6,-1045.6000000000004,12.45,Overpriced
Artemis Princess Hotel,4895.2,9074.1,-4178.900000000001,85.37,Significantly Overpriced
Ares City Hotel,4080.0,8298.4,-4218.4,103.39,Significantly Overpriced
Sealife Buket Beach Hotel,14955.2,16175.8,-1220.5999999999985,8.16,Slight Overpriced
Kamelya Aishen K Club,30736.8,26563.2,4173.5999999999985,13.58,Overpriced
Zeniva Hotel,16200.0,12864.6,3335.3999999999996,20.59,Significantly Overpriced
Elamir Beach Bungalow,11700.0,11482.1,217.89999999999964,1.86,Fair
Evergreen Glamping,8000.0,9510.4,-1510.3999999999996,18.88,Overpriced
Asel Hotel Didim,9878.0,11003.7,-1125.7000000000007,11.4,Overpriced
Lulja Alaçatı,12400.0,11436.2,963.7999999999993,7.77,Slight Overpriced
Luna Begonvil Taş Evler,21968.3,18173.9,3794.399999999998,17.27,Overpriced
Selge Beach Resort Spa,14101.6,15924.7,-1823.1000000000004,12.93,Overpriced
Flamingo Residence,13454.8,9765.2,3689.5999999999985,27.42,Significantly Overpriced
Atrium Hotel Bodrum,8251.6,10573.0,-2321.3999999999996,28.13,Significantly Overpriced
Adrasan Eliz Apart Bungalow,14000.0,10456.5,3543.5,25.31,Significantly Overpriced
Mysea Hotels İncekum,13500.0,13634.9,-134.89999999999964,1.0,Fair
The Nowness Hotel,10900.0,17419.8,-6519.799999999999,59.81,Significantly Overpriced
Adenya Hotel Resort,31860.0,20601.9,11258.099999999999,35.34,Significantly Overpriced
Aska Just İn Beach,18270.0,15869.4,2400.6000000000004,13.14,Overpriced
Golden World Suite Hotel,8976.0,9079.7,-103.70000000000073,1.16,Fair
Afflon Hotels Loft City,6953.9,7944.5,-990.6000000000004,14.25,Overpriced
Aurasia Sea Side,4590.0,9951.5,-5361.5,116.81,Significantly Overpriced
Club Familia Hotel,15592.0,13418.7,2173.2999999999993,13.94,Overpriced
Pırıl Hotel Thermal Beauty Spa,11115.0,13862.5,-2747.5,24.72,Significantly Overpriced
Serenis Hotel,18901.1,14815.2,4085.899999999998,21.62,Significantly Overpriced
D Maris Bay,85648.6,26714.7,58933.90000000001,68.81,Significantly Overpriced
"Reges, A Luxury Collection Resort Spa",55250.0,13527.4,41722.6,75.52,Significantly Overpriced
Vonresort Golden Coast,30400.0,22091.0,8309.0,27.33,Significantly Overpriced
Sayanora Hotel,11520.0,11090.3,429.7000000000007,3.73,Fair
Pineta Club Hotel,14070.0,11722.5,2347.5,16.68,Overpriced
Barışcan Hotel,6256.8,10334.0,-4077.2,65.16,Significantly Overpriced
Blanca Hotel,14571.4,12423.7,2147.699999999999,14.74,Overpriced
Alasonya Otel Alaçatı By Lamira,6800.0,10036.9,-3236.8999999999996,47.6,Significantly Overpriced
Bilem Hotel Beach Spa,11887.8,14039.7,-2151.9000000000015,18.1,Overpriced
Serenity Queen Hotel,20160.0,21031.6,-871.5999999999985,4.32,Fair
Türkmen Boutique Bungalow Apart,5120.0,10544.7,-5424.700000000001,105.95,Significantly Overpriced
Maxwell Holiday Marmaris,5335.2,9242.5,-3907.3,73.24,Significantly Overpriced
Cihantürk Hotel,10413.0,11710.2,-1297.2000000000007,12.46,Overpriced
Vista Villas,9732.8,10848.8,-1116.0,11.47,Overpriced
Vita Bella Hotel Resort Spa,13799.9,16834.0,-3034.1000000000004,21.99,Significantly Overpriced
Ekici Hotel,8541.0,11550.9,-3009.8999999999996,35.24,Significantly Overpriced
Blue Fish Hotel,15300.0,16090.8,-790.7999999999993,5.17,Slight Overpriced
Cettia Beach Resort +16,12960.0,13527.4,-567.3999999999996,4.38,Fair
Antalya Madi Hotel,4340.0,6662.4,-2322.3999999999996,53.51,Significantly Overpriced
Seaden Corolla Hotel Side,9720.0,18521.2,-8801.2,90.55,Significantly Overpriced
Seven Seas Hotel Life,33267.6,22263.3,11004.3,33.08,Significantly Overpriced
Asfiya Loft Apartments,10010.8,11101.7,-1090.9000000000015,10.9,Overpriced
Arya Apart,6256.8,7853.9,-1597.0999999999995,25.53,Significantly Overpriced
İrem Garden Hotel,6264.0,9121.3,-2857.2999999999993,45.61,Significantly Overpriced
Alanya Sunset Hotels,8178.8,9611.3,-1432.499999999999,17.51,Overpriced
Bahçe Apart,9411.7,10863.8,-1452.0999999999985,15.43,Overpriced
Golden Orange Hotel,13768.8,10981.4,2787.3999999999996,20.24,Significantly Overpriced
Seher Kumköy Star Resort Spa,19125.0,18812.2,312.7999999999993,1.64,Fair
Elista Boutique Hotel Spa,8967.2,18006.4,-9039.2,100.8,Significantly Overpriced
Bella Rose Apart Hotel,5453.5,8095.5,-2642.0,48.45,Significantly Overpriced
Side Star Elegance,7200.0,14238.5,-7038.5,97.76,Significantly Overpriced
Eldar Resort Hotel,12417.6,12615.1,-197.5,1.59,Fair
Charm Beach Hotel,18992.4,15934.2,3058.2000000000007,16.1,Overpriced
Moda Beach Boutique Hotel,7616.0,10161.1,-2545.1000000000004,33.42,Significantly Overpriced
Theluna Suite Hotel,11669.8,11789.2,-119.40000000000146,1.02,Fair
Volley Hotel İzmir,9000.0,9857.7,-857.7000000000007,9.53,Slight Overpriced
Çeşme Kanuni Kervansaray Hotel,6800.0,9389.3,-2589.2999999999993,38.08,Significantly Overpriced
Sisus Marina Hotel,10226.4,11068.2,-841.8000000000011,8.23,Slight Overpriced
Blue Eden Hotel,6000.0,9865.9,-3865.8999999999996,64.43,Significantly Overpriced
Blue Waters Club,29250.0,17238.7,12011.3,41.06,Significantly Overpriced
Delfi Hotel Spa Wellness,10000.0,10973.7,-973.7000000000007,9.74,Slight Overpriced
Sky Business Hotel,29250.0,11270.1,17979.9,61.47,Significantly Overpriced
Crystal Land Of Paradise,18720.0,14681.4,4038.6000000000004,21.57,Significantly Overpriced
Grand Bahama Beach Hotel,9840.0,9955.5,-115.5,1.17,Fair
Taç Premier Hotel Spa,11545.5,14011.3,-2465.7999999999993,21.36,Significantly Overpriced
Club Dedeman Bodrum,5610.0,9283.9,-3673.8999999999996,65.49,Significantly Overpriced
Club Hotel Sera,26600.0,19342.6,7257.4000000000015,27.28,Significantly Overpriced
Erya Homes,4500.0,10507.6,-6007.6,133.5,Significantly Overpriced
Monottoman Otel,13120.0,10870.0,2250.0,17.15,Overpriced
Enoya Suites Ilıca,6000.0,11706.8,-5706.799999999999,95.11,Significantly Overpriced
Çiçek Apart Otel,5980.0,9421.0,-3441.0,57.54,Significantly Overpriced
Göncü Apart Otel,7200.0,10032.6,-2832.6000000000004,39.34,Significantly Overpriced
Finike Apart,9744.0,11786.0,-2042.0,20.96,Significantly Overpriced
Gündüzler Deluxe Hotel,5601.6,9034.5,-3432.8999999999996,61.28,Significantly Overpriced
Hanbaba Otel,6000.0,8479.8,-2479.7999999999993,41.33,Significantly Overpriced
Hayal Fener,6952.0,8068.5,-1116.5,16.06,Overpriced
Greenport Hotel,5600.0,10672.6,-5072.6,90.58,Significantly Overpriced
Trendy Side Beach,11000.0,14701.0,-3701.0,33.65,Significantly Overpriced
Dosi Hotel,12600.0,10989.2,1610.7999999999993,12.78,Overpriced
Liman Pansiyon,14000.0,13527.4,472.60000000000036,3.38,Fair
Hotel Turan Prince,23904.0,20188.6,3715.4000000000015,15.54,Overpriced
Lara Marine Homes,15989.6,12524.9,3464.7000000000007,21.67,Significantly Overpriced
Sueno Hotels Deluxe Belek,27000.0,21456.7,5543.299999999999,20.53,Significantly Overpriced
Çamyuva Beach Hotel,12000.0,12954.0,-954.0,7.95,Slight Overpriced
Kemer Residence,15294.4,11695.1,3599.2999999999993,23.53,Significantly Overpriced
İbis İzmir Alsancak,12737.8,12224.2,513.5999999999985,4.03,Fair
Hotel Golden Sun,16008.0,13456.6,2551.3999999999996,15.94,Overpriced
House Of Marmaris,8453.6,10401.4,-1947.7999999999993,23.04,Significantly Overpriced
Kocaman Hotel,4572.0,6962.4,-2390.3999999999996,52.28,Significantly Overpriced
Tu Casa Gelidonya Hotel,11588.8,12657.5,-1068.7000000000007,9.22,Slight Overpriced
Dionisus Hotel Belek Spa,6000.0,9690.4,-3690.3999999999996,61.51,Significantly Overpriced
Kristal Beach Hotel,6960.0,9660.8,-2700.7999999999993,38.8,Significantly Overpriced
Maison 48 Apart,6234.0,8989.4,-2755.3999999999996,44.2,Significantly Overpriced
İncekum Beach Resort,34228.0,22620.1,11607.900000000001,33.91,Significantly Overpriced
Güvenpark Residence Hotel,11200.0,10569.0,631.0,5.63,Slight Overpriced
Trendy Aspendos Beach,28050.0,21168.1,6881.9000000000015,24.53,Significantly Overpriced
Sunis Kumköy Beach Resort,50400.0,19370.9,31029.1,61.57,Significantly Overpriced
Mavi Köşk Apart Sığacık,22000.0,10507.6,11492.4,52.24,Significantly Overpriced
Lavin Garden Hotel,6000.0,8689.9,-2689.8999999999996,44.83,Significantly Overpriced
Nirvana Apart Hotel,14599.2,11683.9,2915.300000000001,19.97,Overpriced
New Safir Apart Hotel,9040.2,8831.4,208.8000000000011,2.31,Fair
Gvar Apart Hotel,3754.0,7362.7,-3608.7,96.13,Significantly Overpriced
Leslion Luxury Hotel,8318.1,8711.7,-393.60000000000036,4.73,Fair
Patara Evleri,10428.0,9929.5,498.5,4.78,Fair
Avena Resort Spa Hotel,12467.8,12814.1,-346.3000000000011,2.78,Fair
Doubletree By Hilton Alsancak,16200.0,11600.4,4599.6,28.39,Significantly Overpriced
Modern Saraylar Halal Hotel Spa,15120.0,12860.3,2259.7000000000007,14.95,Overpriced
Riva Hotel Alsancak,16297.2,12043.8,4253.4000000000015,26.1,Significantly Overpriced
Ritim Apart Otel,9009.7,9557.2,-547.5,6.08,Slight Overpriced
Hakan Otel Bodrum,5466.8,10148.2,-4681.400000000001,85.63,Significantly Overpriced
Doubletree By Hilton Hotel İzmir Airport,16800.0,13261.7,3538.2999999999993,21.06,Significantly Overpriced
Olympos Village Reluxury Hotel,10846.0,9625.2,1220.7999999999993,11.26,Overpriced
Blue Wave Suite Hotel,8160.0,11852.6,-3692.6000000000004,45.25,Significantly Overpriced
Dragut Point South Hotel,8860.8,10965.0,-2104.2000000000007,23.75,Significantly Overpriced
Akra Hotel,22078.9,17857.1,4221.800000000003,19.12,Overpriced
Rodinn Park Hotel,6120.0,11136.4,-5016.4,81.97,Significantly Overpriced
Saphir Hotel,23400.0,20331.2,3068.7999999999993,13.11,Overpriced
Helios Hotel,19000.0,12507.5,6492.5,34.17,Significantly Overpriced
Mira Otel Alsancak,10347.5,10950.4,-602.8999999999996,5.83,Slight Overpriced
Elips Royal Hotel,8759.5,10484.7,-1725.2000000000007,19.7,Overpriced
Mene City Hotel,17240.9,8064.8,9176.100000000002,53.22,Significantly Overpriced
Sirena Apart Spa,8244.3,10507.6,-2263.300000000001,27.45,Significantly Overpriced
Sardunya Apart,6400.0,8923.6,-2523.6000000000004,39.43,Significantly Overpriced
Mr Crane Hotel,15363.8,11910.4,3453.3999999999996,22.48,Significantly Overpriced
Four Points By Sheraton İzmir Otel,16267.6,13045.0,3222.6000000000004,19.81,Overpriced
Premier İnn City Hotel Lara,5600.0,8628.9,-3028.8999999999996,54.09,Significantly Overpriced
Sercan Apart Hotel,27808.0,11965.1,15842.9,56.97,Significantly Overpriced
Adalya Art Side Hotel,18017.2,19378.3,-1361.0999999999985,7.55,Slight Overpriced
Falcon Hotel,22272.0,18422.3,3849.7000000000007,17.28,Overpriced
Solt Suites Bodum,9246.1,10553.1,-1307.0,14.14,Overpriced
Selenya Butik Apart Otel,7786.2,10613.0,-2826.8,36.31,Significantly Overpriced
Stile Suite Family Hotel,4800.0,8698.5,-3898.5,81.22,Significantly Overpriced
Hotel Berke Ranch Nature,5680.3,8987.2,-3306.9000000000005,58.22,Significantly Overpriced
Muz Hotel,10924.2,13108.5,-2184.2999999999993,20.0,Overpriced
Fun And Sun Smart Hane Sun,10965.6,10309.0,656.6000000000004,5.99,Slight Overpriced
Algora Halal Hotel,10530.0,11748.5,-1218.5,11.57,Overpriced
Oranj Ranch Hotel,7980.0,9913.0,-1933.0,24.22,Significantly Overpriced
Özcan Beach Hotel,8011.6,10837.7,-2826.1000000000004,35.28,Significantly Overpriced
Nagi Beach Hotel,8840.0,10399.0,-1559.0,17.64,Overpriced
Tebriz Apart,12000.0,10245.6,1754.3999999999996,14.62,Overpriced
Pasaport Pier Hotel,11970.0,11413.0,557.0,4.65,Fair
Şahin Apart Otel,10000.0,10277.1,-277.10000000000036,2.77,Fair
Sunpark Garden Hotel,12513.6,15563.6,-3050.0,24.37,Significantly Overpriced
Garden Park Beldibi Hotel,5200.0,9182.6,-3982.6000000000004,76.59,Significantly Overpriced
Rosy Hotel,4000.0,8278.5,-4278.5,106.96,Significantly Overpriced
Club Marco Polo,33660.0,22452.8,11207.2,33.3,Significantly Overpriced
Annabella Diamond Hotel Spa,11178.0,13369.2,-2191.2000000000007,19.6,Overpriced
Arsi Enfi City Beach Hotel,11262.2,12261.9,-999.6999999999989,8.88,Slight Overpriced
Hotel Maison Vourla,16800.0,13145.6,3654.3999999999996,21.75,Significantly Overpriced
Ananas Hotel,11560.0,12973.6,-1413.6000000000004,12.23,Overpriced
Can Garden Beach Hotel,18626.0,15419.9,3206.1000000000004,17.21,Overpriced
Umayra Hotel,7508.1,13308.1,-5800.0,77.25,Significantly Overpriced
Anemon Çiğli Hotel,14060.0,12883.7,1176.2999999999993,8.37,Slight Overpriced
Arbatt Marmaris,8820.0,10463.3,-1643.2999999999993,18.63,Overpriced
Villa Asoa,9464.2,10047.1,-582.8999999999996,6.16,Slight Overpriced
Cape Bodrum Luxury Hotel Beach,46080.0,26316.0,19764.0,42.89,Significantly Overpriced
11 Oda Boutique Pension ( +12 Oteli ),25300.0,13527.4,11772.6,46.53,Significantly Overpriced
Bells Beach Hotel,6000.0,13290.3,-7290.299999999999,121.5,Significantly Overpriced
Santa Marina Hotel,6600.0,9824.4,-3224.3999999999996,48.85,Significantly Overpriced
Begonvil Pansiyon Şirince,5287.0,9273.6,-3986.6000000000004,75.4,Significantly Overpriced
Mavi Cennet Camping Pansiyon,2800.0,10351.0,-7551.0,269.68,Significantly Overpriced
Green Paradise Hotel,5742.8,10572.5,-4829.7,84.1,Significantly Overpriced
Beta Guesthouse,5846.4,8405.0,-2558.6000000000004,43.76,Significantly Overpriced
Lord Hotel,10000.0,10919.8,-919.7999999999993,9.2,Slight Overpriced
Hotel Pirat,8968.1,13320.8,-4352.699999999999,48.54,Significantly Overpriced
Deruni Ilıca Otel,11600.0,10552.0,1048.0,9.03,Slight Overpriced
Finike Sever Otel,3000.0,8350.4,-5350.4,178.35,Significantly Overpriced
Casablanca Beach +12,11186.0,13527.4,-2341.3999999999996,20.93,Significantly Overpriced
Gödence Hotel Restoran,7920.0,11559.7,-3639.7000000000007,45.96,Significantly Overpriced
Hedefbeyt Hotel Resort Spa,9720.0,11397.8,-1677.7999999999993,17.26,Overpriced
Hoyran Wedre Köy Evleri,19493.5,15516.6,3976.8999999999996,20.4,Significantly Overpriced
Khans Bb Hotel,10800.0,10081.9,718.1000000000004,6.65,Slight Overpriced
Club Grand Side Amazon Water World,26622.9,18833.8,7789.100000000002,29.26,Significantly Overpriced
Hotel Warszawski Alaçatı,9208.0,10507.6,-1299.6000000000004,14.11,Overpriced
Sunway Hotel Marmaris,7058.8,10210.3,-3151.499999999999,44.65,Significantly Overpriced
Club Beyy Resort Hotel,7660.8,11400.5,-3739.7,48.82,Significantly Overpriced
Sava Hotel,6356.7,9502.2,-3145.500000000001,49.48,Significantly Overpriced
Tourist Hotel,6479.7,9276.9,-2797.2,43.17,Significantly Overpriced
Merhaba Pansiyon,4800.0,8665.4,-3865.3999999999996,80.53,Significantly Overpriced
Halikarnas Pansiyon,6400.0,10235.6,-3835.6000000000004,59.93,Significantly Overpriced
Mystic Konak,6000.0,10418.9,-4418.9,73.65,Significantly Overpriced
Hera Hotel Kaş,10800.0,14114.4,-3314.3999999999996,30.69,Significantly Overpriced
Club Sun Heaven Family Hotel,12542.4,12798.7,-256.3000000000011,2.04,Fair
Olimpos Vadi Otel,12000.0,10858.1,1141.8999999999996,9.52,Slight Overpriced
Alaroof Butik Otel,16000.0,9680.6,6319.4,39.5,Significantly Overpriced
Vesta Fuar Hotel,6000.0,9935.8,-3935.7999999999993,65.6,Significantly Overpriced
Valeri Beach Hotel,13872.3,13555.9,316.39999999999964,2.28,Fair
Titan House Hostel,1400.0,13527.4,-12127.4,866.24,Significantly Overpriced
Vesta Liman Otel,6000.0,11143.4,-5143.4,85.72,Significantly Overpriced
Huma Elit Hotel Lara,10000.0,8907.7,1092.2999999999993,10.92,Overpriced
Örsmaris Boutique Hotel,7933.3,10777.0,-2843.7,35.85,Significantly Overpriced
Sheriff Pansiyon,7200.0,9698.1,-2498.1000000000004,34.7,Significantly Overpriced
Cornelia Diamond Golf Resort Spa,17544.0,17592.9,-48.900000000001455,0.28,Fair
Hotel Babaylon,16380.0,14318.9,2061.1000000000004,12.58,Overpriced
Kaş Olympos Mocamp,9746.9,10721.9,-975.0,10.0,Slight Overpriced
Kadirs Tree Houses,10800.0,9653.5,1146.5,10.62,Overpriced
Amos Hotel,8342.4,10604.8,-2262.3999999999996,27.12,Significantly Overpriced
Yalıhan Aspendos Hotel,16495.2,14377.0,2118.2000000000007,12.84,Overpriced
Exporoyal Hotel,3153.4,6329.1,-3175.7000000000003,100.71,Significantly Overpriced
Hotel Bleu Nuit,7770.0,11437.7,-3667.7000000000007,47.2,Significantly Overpriced
Tuthaliya Boutique Hotel,7200.0,9185.7,-1985.7000000000007,27.58,Significantly Overpriced
Kemer Manastır Hotel,10000.0,10507.6,-507.60000000000036,5.08,Slight Overpriced
Yalıyanı Pansiyon,6400.0,11025.9,-4625.9,72.28,Significantly Overpriced
Akkan Beach Hotel,10033.9,11168.2,-1134.300000000001,11.3,Overpriced
Alaçatı Gerence Hotel By Lamira,6300.0,10507.6,-4207.6,66.79,Significantly Overpriced
Casa Dell’arte Hotel Of Arts Leisure,20647.4,13527.4,7120.000000000002,34.48,Significantly Overpriced
Hotel Sun Fire Beach,14696.5,13917.6,778.8999999999996,5.3,Slight Overpriced
Delta Hotels By Marriott Bodrum,16320.0,15582.9,737.1000000000004,4.52,Fair
Leslion Hotel Turunç,8023.4,9136.6,-1113.2000000000007,13.87,Overpriced
La Boutique Hotel Suites,14389.3,12549.8,1839.5,12.78,Overpriced
Akkan Luxury Hotel,13150.3,11793.4,1356.8999999999996,10.32,Overpriced
İncekum West Hotel,7936.8,12295.0,-4358.2,54.91,Significantly Overpriced
Casamia Boutique Hotels,16000.0,15577.6,422.39999999999964,2.64,Fair
Side Sunberk Hotel,7590.0,10550.0,-2960.0,39.0,Significantly Overpriced
Diamond Elite Hotel Spa,19890.0,17266.2,2623.7999999999993,13.19,Overpriced
Palmalife Hotel,21492.0,16564.2,4927.799999999999,22.93,Significantly Overpriced
Kaya Prestige Hotel,13056.0,10715.2,2340.7999999999993,17.93,Overpriced
Casaoliva Alaçatı,18770.4,11524.9,7245.500000000002,38.6,Significantly Overpriced
Mirada Exclusive Bodrum,33696.0,20192.8,13503.2,40.07,Significantly Overpriced
Palmetto Resort,32941.1,19890.7,13050.399999999998,39.62,Significantly Overpriced
Kleopatra Arsi Hotel,12178.3,12387.4,-209.10000000000036,1.72,Fair
Moonshine Hotel Suites,7499.6,9009.1,-1509.5,20.13,Significantly Overpriced
Wa Çeşme Farm Hotel,6352.9,11243.3,-4890.4,76.98,Significantly Overpriced
Diamond Premium Hotel Spa,20000.0,18599.7,1400.2999999999993,7.0,Slight Overpriced
Club Hotel Mirabell,12299.4,13853.0,-1553.6000000000004,12.63,Overpriced
Aelbistan Otel,4000.0,8687.8,-4687.799999999999,117.19,Significantly Overpriced
01 Nova Otel,6900.0,8622.4,-1722.3999999999996,24.96,Significantly Overpriced
Doubletree By Hilton Antalya City Centre,22884.6,16392.4,6492.199999999997,28.37,Significantly Overpriced
Alanya Beach Hotel,7600.0,12237.2,-4637.200000000001,61.02,Significantly Overpriced
Costa Asmin Hotel,6668.0,7925.5,-1257.5,18.86,Overpriced
Akalia Suite Hotel Spa,5580.0,10016.9,-4436.9,79.51,Significantly Overpriced
Papirus Hotel Adrasan,11818.4,10826.1,992.2999999999993,8.4,Slight Overpriced
Doubletree By Hilton Bodrum Işıl Club All Inclusive Resort,20400.0,19990.7,409.2999999999993,2.01,Fair
Düşler Evim,7958.4,9795.6,-1837.2000000000007,23.09,Significantly Overpriced
Doria Hotel Yacht Club,62251.2,30176.0,32075.199999999997,51.53,Significantly Overpriced
Değirmenburnu Residence,13236.6,10930.6,2306.0,17.42,Overpriced
Almena City Hotel,3476.0,8768.2,-5292.200000000001,152.25,Significantly Overpriced
Emens Hotel,11000.0,9039.5,1960.5,17.82,Overpriced
Elysium Green Suites Lara,13296.4,10491.0,2805.3999999999996,21.1,Significantly Overpriced
Palmea Hotel,7819.9,11087.6,-3267.7000000000007,41.79,Significantly Overpriced
Elegance Hotel Marmaris,17722.8,19032.0,-1309.2000000000007,7.39,Slight Overpriced
