otel_ad,fiyat,Predicted Price (Average),Price Difference,Fair Price Percentage,Fair Price Range
Çeşme Flowers Otel,10600.0,10625.2,-25.2,0.24,Fair
Cumbalıca Beach Otel,11000.0,14831.7,-3831.7,34.83,Significantly Overpriced
Comfy Otel Antalya Lara,2016.0,9127.3,-7111.3,352.74,Significantly Overpriced
Cappari Aqua Princess Hotel,11192.8,13802.5,-2609.7,23.32,Significantly Overpriced
Kuum Hotel,6993.0,21526.5,-14533.5,207.83,Significantly Overpriced
La Kumsal Hotel +12,20412.0,13001.9,7410.1,36.3,Significantly Overpriced
Royal Alhambra Palace,27300.0,24439.4,2860.6,10.48,Overpriced
Villa Peri Alaçatı,12232.4,12161.1,71.3,0.58,Fair
Scylax Family Club,18291.0,15672.6,2618.4,14.32,Overpriced
Villa Oliva Butik Hotel,16689.6,11311.9,5377.7,32.22,Significantly Overpriced
Alexius Beach Hotel,15000.0,13616.7,1383.3,9.22,Slight Overpriced
Cappari Aquarius Hotel,9350.0,10205.0,-855.0,9.14,Slight Overpriced
Via Farilya Hotel,21420.0,11525.1,9894.9,46.19,Significantly Overpriced
Sunset Hotel Marmaris,16701.6,11380.0,5321.6,31.86,Significantly Overpriced
Villamer Alaçatı,8342.4,13001.9,-4659.5,55.85,Significantly Overpriced
Get Enjoy Hotels,6138.0,9459.0,-3321.0,54.11,Significantly Overpriced
Arya Otel,7488.0,8900.8,-1412.8,18.87,Overpriced
Royal Dragon Side,29400.0,21647.0,7753.0,26.37,Significantly Overpriced
Orfeus Park Hotel,12056.2,15684.4,-3628.2,30.09,Significantly Overpriced
Vinifera Hotel Yedibilgiler Vineyards,19604.6,13530.9,6073.7,30.98,Significantly Overpriced
Seaden Valentine Resort Spa,23184.0,20773.6,2410.4,10.4,Overpriced
Megasaray Resort Side,13860.0,13226.8,633.2,4.57,Fair
Ambrosia Hotel,14000.0,14649.1,-649.1,4.64,Fair
Xanthos Boutique Hotel Patara,7299.6,10380.5,-3080.9,42.21,Significantly Overpriced
Xen Deluxe Boutique Hotel,23436.0,14422.3,9013.7,38.46,Significantly Overpriced
Phoenix Sun Hotel Bodrum,8047.0,8962.7,-915.7,11.38,Overpriced
Anemon Ege Sağlık Oteli,12700.0,14437.1,-1737.1,13.68,Overpriced
Beetle House Coffee Hotel,6000.0,9303.9,-3303.9,55.06,Significantly Overpriced
Royal Taj Mahal,28539.0,24451.8,4087.2,14.32,Overpriced
Golden Age Hotel Yalıkavak,9720.0,22117.6,-12397.6,127.55,Significantly Overpriced
Yayla Hotel,5561.6,13001.9,-7440.3,133.78,Significantly Overpriced
Orfeus Queen Spa,12045.8,13643.1,-1597.3,13.26,Overpriced
Yalıkavak Marina Garden Hotel,27045.0,19417.7,7627.3,28.2,Significantly Overpriced
Anemon İzmir,12408.0,12609.0,-201.0,1.62,Fair
Annabella Park Hotel,8280.0,10479.0,-2199.0,26.56,Significantly Overpriced
Yelken Beach Otel,4766.4,9178.7,-4412.3,92.57,Significantly Overpriced
Sentido Lycus Beach,18317.3,13414.6,4902.7,26.77,Significantly Overpriced
Hedef Kleopatra Hotel,10200.0,11887.8,-1687.8,16.55,Overpriced
Rubi Platinum Sign,35840.0,20460.0,15380.0,42.91,Significantly Overpriced
Salmakis Resort Spa,20250.0,21490.5,-1240.5,6.13,Slight Overpriced
Sealife Family Resort,16426.6,18050.1,-1623.5,9.88,Slight Overpriced
Agon Hotel,3124.0,9169.6,-6045.6,193.52,Significantly Overpriced
Yüzbaşı Beach Hotel,4352.0,11375.3,-7023.3,161.38,Significantly Overpriced
Arabella World Hotel,4441.2,11606.7,-7165.5,161.34,Significantly Overpriced
Alura Boutique Hotel Çeşme,27048.0,16875.6,10172.4,37.61,Significantly Overpriced
Side Square Hotel,14688.0,10940.0,3748.0,25.52,Significantly Overpriced
Alkan Hotel,5280.0,7543.8,-2263.8,42.88,Significantly Overpriced
Calimera Side Resort,18300.0,14580.3,3719.7,20.33,Significantly Overpriced
Seaden Sea World Resort Spa,19440.0,22462.7,-3022.7,15.55,Overpriced
Justiniano Club Alanya,18543.6,20081.5,-1537.9,8.29,Slight Overpriced
Ares Blue Hotel,9888.7,8881.5,1007.2,10.19,Overpriced
Mete Otel Bozburun,16000.0,15200.5,799.5,5.0,Fair
Seher Sun Palace,36800.0,20374.3,16425.7,44.64,Significantly Overpriced
Hotel Villa Turka Alanya,10462.7,10790.0,-327.3,3.13,Fair
Porto Fenari Köyiçi,6000.0,10524.1,-4524.1,75.4,Significantly Overpriced
Dores Residence,16142.6,11312.4,4830.2,29.92,Significantly Overpriced
Grand Faik Hotel,6539.0,8446.2,-1907.2,29.17,Significantly Overpriced
Mielo Lara Hotel,7200.0,7794.8,-594.8,8.26,Slight Overpriced
Grand Hekimoğlu Hotel,8000.0,8702.6,-702.6,8.78,Slight Overpriced
Otel Zeytinada,10080.0,12015.2,-1935.2,19.2,Overpriced
Akay Garden Family Club,8400.0,9478.0,-1078.0,12.83,Overpriced
Artemis Princess Hotel,4895.2,8156.9,-3261.7,66.63,Significantly Overpriced
Ares City Hotel,4080.0,9565.1,-5485.1,134.44,Significantly Overpriced
Sealife Buket Beach Hotel,14955.2,19157.8,-4202.6,28.1,Significantly Overpriced
Kamelya Aishen K Club,30736.8,29620.1,1116.7,3.63,Fair
Zeniva Hotel,16200.0,12831.9,3368.1,20.79,Significantly Overpriced
Elamir Beach Bungalow,11700.0,12357.2,-657.2,5.62,Slight Overpriced
Evergreen Glamping,8000.0,11664.4,-3664.4,45.8,Significantly Overpriced
Asel Hotel Didim,9878.0,10674.3,-796.3,8.06,Slight Overpriced
Lulja Alaçatı,12400.0,12639.6,-239.6,1.93,Fair
Luna Begonvil Taş Evler,21968.3,17297.6,4670.7,21.26,Significantly Overpriced
Selge Beach Resort Spa,14101.6,18353.7,-4252.1,30.15,Significantly Overpriced
Flamingo Residence,13454.8,7093.0,6361.8,47.28,Significantly Overpriced
Atrium Hotel Bodrum,8251.6,9906.4,-1654.8,20.05,Significantly Overpriced
Adrasan Eliz Apart Bungalow,14000.0,9593.9,4406.1,31.47,Significantly Overpriced
Mysea Hotels İncekum,13500.0,15989.7,-2489.7,18.44,Overpriced
The Nowness Hotel,10900.0,17363.0,-6463.0,59.29,Significantly Overpriced
Adenya Hotel Resort,31860.0,22539.5,9320.5,29.25,Significantly Overpriced
Aska Just İn Beach,18270.0,16425.2,1844.8,10.1,Overpriced
Golden World Suite Hotel,8976.0,8426.9,549.1,6.12,Slight Overpriced
Afflon Hotels Loft City,6953.9,7198.4,-244.5,3.52,Fair
Aurasia Sea Side,4590.0,10891.3,-6301.3,137.28,Significantly Overpriced
Club Familia Hotel,15592.0,14986.6,605.4,3.88,Fair
Pırıl Hotel Thermal Beauty Spa,11115.0,19533.2,-8418.2,75.74,Significantly Overpriced
Serenis Hotel,18901.1,14041.9,4859.2,25.71,Significantly Overpriced
D Maris Bay,85648.6,32038.6,53610.0,62.59,Significantly Overpriced
"Reges, A Luxury Collection Resort Spa",55250.0,13001.9,42248.1,76.47,Significantly Overpriced
Vonresort Golden Coast,30400.0,26316.1,4083.9,13.43,Overpriced
Sayanora Hotel,11520.0,9334.3,2185.7,18.97,Overpriced
Pineta Club Hotel,14070.0,12295.8,1774.2,12.61,Overpriced
Barışcan Hotel,6256.8,11227.2,-4970.4,79.44,Significantly Overpriced
Blanca Hotel,14571.4,12865.6,1705.8,11.71,Overpriced
Alasonya Otel Alaçatı By Lamira,6800.0,12292.3,-5492.3,80.77,Significantly Overpriced
Bilem Hotel Beach Spa,11887.8,16462.0,-4574.2,38.48,Significantly Overpriced
Serenity Queen Hotel,20160.0,22720.4,-2560.4,12.7,Overpriced
Türkmen Boutique Bungalow Apart,5120.0,11779.3,-6659.3,130.06,Significantly Overpriced
Maxwell Holiday Marmaris,5335.2,8801.8,-3466.6,64.98,Significantly Overpriced
Cihantürk Hotel,10413.0,11197.1,-784.1,7.53,Slight Overpriced
Vista Villas,9732.8,11504.4,-1771.6,18.2,Overpriced
Vita Bella Hotel Resort Spa,13799.9,16788.5,-2988.6,21.66,Significantly Overpriced
Ekici Hotel,8541.0,11140.8,-2599.8,30.44,Significantly Overpriced
Blue Fish Hotel,15300.0,15813.2,-513.2,3.35,Fair
Cettia Beach Resort +16,12960.0,13001.9,-41.9,0.32,Fair
Antalya Madi Hotel,4340.0,6153.0,-1813.0,41.77,Significantly Overpriced
Seaden Corolla Hotel Side,9720.0,20629.6,-10909.6,112.24,Significantly Overpriced
Seven Seas Hotel Life,33267.6,23155.8,10111.8,30.4,Significantly Overpriced
Asfiya Loft Apartments,10010.8,13541.9,-3531.1,35.27,Significantly Overpriced
Arya Apart,6256.8,10155.6,-3898.8,62.31,Significantly Overpriced
İrem Garden Hotel,6264.0,10284.1,-4020.1,64.18,Significantly Overpriced
Alanya Sunset Hotels,8178.8,10120.1,-1941.3,23.74,Significantly Overpriced
Bahçe Apart,9411.7,12827.0,-3415.3,36.29,Significantly Overpriced
Golden Orange Hotel,13768.8,9145.9,4622.9,33.58,Significantly Overpriced
Seher Kumköy Star Resort Spa,19125.0,19570.8,-445.8,2.33,Fair
Elista Boutique Hotel Spa,8967.2,20941.1,-11973.9,133.53,Significantly Overpriced
Bella Rose Apart Hotel,5453.5,7460.5,-2007.0,36.8,Significantly Overpriced
Side Star Elegance,7200.0,16696.5,-9496.5,131.9,Significantly Overpriced
Eldar Resort Hotel,12417.6,12921.0,-503.4,4.05,Fair
Charm Beach Hotel,18992.4,16912.5,2079.9,10.95,Overpriced
Moda Beach Boutique Hotel,7616.0,9360.5,-1744.5,22.91,Significantly Overpriced
Theluna Suite Hotel,11669.8,10523.1,1146.7,9.83,Slight Overpriced
Volley Hotel İzmir,9000.0,9673.4,-673.4,7.48,Slight Overpriced
Çeşme Kanuni Kervansaray Hotel,6800.0,8159.6,-1359.6,19.99,Overpriced
Sisus Marina Hotel,10226.4,15662.2,-5435.8,53.15,Significantly Overpriced
Blue Eden Hotel,6000.0,10472.4,-4472.4,74.54,Significantly Overpriced
Blue Waters Club,29250.0,21152.1,8097.9,27.69,Significantly Overpriced
Delfi Hotel Spa Wellness,10000.0,11059.2,-1059.2,10.59,Overpriced
Sky Business Hotel,29250.0,12075.1,17174.9,58.72,Significantly Overpriced
Crystal Land Of Paradise,18720.0,13751.3,4968.7,26.54,Significantly Overpriced
Grand Bahama Beach Hotel,9840.0,7842.0,1998.0,20.3,Significantly Overpriced
Taç Premier Hotel Spa,11545.5,13798.7,-2253.2,19.52,Overpriced
Club Dedeman Bodrum,5610.0,9697.4,-4087.4,72.86,Significantly Overpriced
Club Hotel Sera,26600.0,21223.8,5376.2,20.21,Significantly Overpriced
Erya Homes,4500.0,10380.5,-5880.5,130.68,Significantly Overpriced
Monottoman Otel,13120.0,11942.4,1177.6,8.98,Slight Overpriced
Enoya Suites Ilıca,6000.0,11224.2,-5224.2,87.07,Significantly Overpriced
Çiçek Apart Otel,5980.0,11157.4,-5177.4,86.58,Significantly Overpriced
Göncü Apart Otel,7200.0,10873.1,-3673.1,51.02,Significantly Overpriced
Finike Apart,9744.0,13096.4,-3352.4,34.4,Significantly Overpriced
Gündüzler Deluxe Hotel,5601.6,9103.4,-3501.8,62.51,Significantly Overpriced
Hanbaba Otel,6000.0,11020.5,-5020.5,83.68,Significantly Overpriced
Hayal Fener,6952.0,9322.2,-2370.2,34.09,Significantly Overpriced
Greenport Hotel,5600.0,9502.0,-3902.0,69.68,Significantly Overpriced
Trendy Side Beach,11000.0,17325.7,-6325.7,57.51,Significantly Overpriced
Dosi Hotel,12600.0,11569.1,1030.9,8.18,Slight Overpriced
Liman Pansiyon,14000.0,13001.9,998.1,7.13,Slight Overpriced
Hotel Turan Prince,23904.0,24785.9,-881.9,3.69,Fair
Lara Marine Homes,15989.6,11999.6,3990.0,24.95,Significantly Overpriced
Sueno Hotels Deluxe Belek,27000.0,26994.9,5.1,0.02,Fair
Çamyuva Beach Hotel,12000.0,15388.6,-3388.6,28.24,Significantly Overpriced
Kemer Residence,15294.4,10199.8,5094.6,33.31,Significantly Overpriced
İbis İzmir Alsancak,12737.8,13395.4,-657.6,5.16,Slight Overpriced
Hotel Golden Sun,16008.0,14760.5,1247.5,7.79,Slight Overpriced
House Of Marmaris,8453.6,10770.0,-2316.4,27.4,Significantly Overpriced
Kocaman Hotel,4572.0,6852.5,-2280.5,49.88,Significantly Overpriced
Tu Casa Gelidonya Hotel,11588.8,14301.9,-2713.1,23.41,Significantly Overpriced
Dionisus Hotel Belek Spa,6000.0,9666.1,-3666.1,61.1,Significantly Overpriced
Kristal Beach Hotel,6960.0,8202.8,-1242.8,17.86,Overpriced
Maison 48 Apart,6234.0,9107.1,-2873.1,46.09,Significantly Overpriced
İncekum Beach Resort,34228.0,25021.9,9206.1,26.9,Significantly Overpriced
Güvenpark Residence Hotel,11200.0,12810.2,-1610.2,14.38,Overpriced
Trendy Aspendos Beach,28050.0,22539.6,5510.4,19.64,Overpriced
Sunis Kumköy Beach Resort,50400.0,21308.7,29091.3,57.72,Significantly Overpriced
Mavi Köşk Apart Sığacık,22000.0,10380.5,11619.5,52.82,Significantly Overpriced
Lavin Garden Hotel,6000.0,8434.9,-2434.9,40.58,Significantly Overpriced
Nirvana Apart Hotel,14599.2,10896.6,3702.6,25.36,Significantly Overpriced
New Safir Apart Hotel,9040.2,10309.5,-1269.3,14.04,Overpriced
Gvar Apart Hotel,3754.0,9027.4,-5273.4,140.47,Significantly Overpriced
Leslion Luxury Hotel,8318.1,9799.3,-1481.2,17.81,Overpriced
Patara Evleri,10428.0,10842.4,-414.4,3.97,Fair
Avena Resort Spa Hotel,12467.8,15053.1,-2585.3,20.74,Significantly Overpriced
Doubletree By Hilton Alsancak,16200.0,13471.3,2728.7,16.84,Overpriced
Modern Saraylar Halal Hotel Spa,15120.0,12108.9,3011.1,19.91,Overpriced
Riva Hotel Alsancak,16297.2,11420.4,4876.8,29.92,Significantly Overpriced
Ritim Apart Otel,9009.7,10341.8,-1332.1,14.79,Overpriced
Hakan Otel Bodrum,5466.8,10862.5,-5395.7,98.7,Significantly Overpriced
Doubletree By Hilton Hotel İzmir Airport,16800.0,14989.2,1810.8,10.78,Overpriced
Olympos Village Reluxury Hotel,10846.0,8601.3,2244.7,20.7,Significantly Overpriced
Blue Wave Suite Hotel,8160.0,11643.5,-3483.5,42.69,Significantly Overpriced
Dragut Point South Hotel,8860.8,13589.8,-4729.0,53.37,Significantly Overpriced
Akra Hotel,22078.9,19369.1,2709.8,12.27,Overpriced
Rodinn Park Hotel,6120.0,11912.1,-5792.1,94.64,Significantly Overpriced
Saphir Hotel,23400.0,22175.8,1224.2,5.23,Slight Overpriced
Helios Hotel,19000.0,10943.6,8056.4,42.4,Significantly Overpriced
Mira Otel Alsancak,10347.5,11416.2,-1068.7,10.33,Overpriced
Elips Royal Hotel,8759.5,14019.8,-5260.3,60.05,Significantly Overpriced
Mene City Hotel,17240.9,5913.3,11327.6,65.7,Significantly Overpriced
Sirena Apart Spa,8244.3,10380.5,-2136.2,25.91,Significantly Overpriced
Sardunya Apart,6400.0,9692.8,-3292.8,51.45,Significantly Overpriced
Mr Crane Hotel,15363.8,10008.6,5355.2,34.86,Significantly Overpriced
Four Points By Sheraton İzmir Otel,16267.6,13826.5,2441.1,15.01,Overpriced
Premier İnn City Hotel Lara,5600.0,7523.1,-1923.1,34.34,Significantly Overpriced
Sercan Apart Hotel,27808.0,11321.8,16486.2,59.29,Significantly Overpriced
Adalya Art Side Hotel,18017.2,22838.7,-4821.5,26.76,Significantly Overpriced
Falcon Hotel,22272.0,20395.4,1876.6,8.43,Slight Overpriced
Solt Suites Bodum,9246.1,11634.1,-2388.0,25.83,Significantly Overpriced
Selenya Butik Apart Otel,7786.2,11474.1,-3687.9,47.36,Significantly Overpriced
Stile Suite Family Hotel,4800.0,7604.1,-2804.1,58.42,Significantly Overpriced
Hotel Berke Ranch Nature,5680.3,11066.3,-5386.0,94.82,Significantly Overpriced
Muz Hotel,10924.2,11451.0,-526.8,4.82,Fair
Fun And Sun Smart Hane Sun,10965.6,11217.0,-251.4,2.29,Fair
Algora Halal Hotel,10530.0,10907.0,-377.0,3.58,Fair
Oranj Ranch Hotel,7980.0,8024.4,-44.4,0.56,Fair
Özcan Beach Hotel,8011.6,13308.0,-5296.4,66.11,Significantly Overpriced
Nagi Beach Hotel,8840.0,11214.8,-2374.8,26.86,Significantly Overpriced
Tebriz Apart,12000.0,11248.8,751.2,6.26,Slight Overpriced
Pasaport Pier Hotel,11970.0,13285.6,-1315.6,10.99,Overpriced
Şahin Apart Otel,10000.0,11237.6,-1237.6,12.38,Overpriced
Sunpark Garden Hotel,12513.6,13789.6,-1276.0,10.2,Overpriced
Garden Park Beldibi Hotel,5200.0,8754.9,-3554.9,68.36,Significantly Overpriced
Rosy Hotel,4000.0,9535.3,-5535.3,138.38,Significantly Overpriced
Club Marco Polo,33660.0,24695.0,8965.0,26.63,Significantly Overpriced
Annabella Diamond Hotel Spa,11178.0,14608.6,-3430.6,30.69,Significantly Overpriced
Arsi Enfi City Beach Hotel,11262.2,11834.5,-572.3,5.08,Slight Overpriced
Hotel Maison Vourla,16800.0,13703.7,3096.3,18.43,Overpriced
Ananas Hotel,11560.0,12133.5,-573.5,4.96,Fair
Can Garden Beach Hotel,18626.0,11733.7,6892.3,37.0,Significantly Overpriced
Umayra Hotel,7508.1,15328.2,-7820.1,104.16,Significantly Overpriced
Anemon Çiğli Hotel,14060.0,16033.6,-1973.6,14.04,Overpriced
Arbatt Marmaris,8820.0,11890.4,-3070.4,34.81,Significantly Overpriced
Villa Asoa,9464.2,10790.8,-1326.6,14.02,Overpriced
Cape Bodrum Luxury Hotel Beach,46080.0,25301.3,20778.7,45.09,Significantly Overpriced
11 Oda Boutique Pension ( +12 Oteli ),25300.0,13001.9,12298.1,48.61,Significantly Overpriced
Bells Beach Hotel,6000.0,15174.2,-9174.2,152.9,Significantly Overpriced
Santa Marina Hotel,6600.0,10231.2,-3631.2,55.02,Significantly Overpriced
Begonvil Pansiyon Şirince,5287.0,11488.4,-6201.4,117.3,Significantly Overpriced
Mavi Cennet Camping Pansiyon,2800.0,12606.6,-9806.6,350.24,Significantly Overpriced
Green Paradise Hotel,5742.8,13523.1,-7780.3,135.48,Significantly Overpriced
Beta Guesthouse,5846.4,8709.6,-2863.2,48.97,Significantly Overpriced
Lord Hotel,10000.0,10302.2,-302.2,3.02,Fair
Hotel Pirat,8968.1,9964.1,-996.0,11.11,Overpriced
Deruni Ilıca Otel,11600.0,11418.4,181.6,1.57,Fair
Finike Sever Otel,3000.0,9421.3,-6421.3,214.04,Significantly Overpriced
Casablanca Beach +12,11186.0,13001.9,-1815.9,16.23,Overpriced
Gödence Hotel Restoran,7920.0,12515.4,-4595.4,58.02,Significantly Overpriced
Hedefbeyt Hotel Resort Spa,9720.0,14801.7,-5081.7,52.28,Significantly Overpriced
Hoyran Wedre Köy Evleri,19493.5,15460.3,4033.2,20.69,Significantly Overpriced
Khans Bb Hotel,10800.0,10499.2,300.8,2.79,Fair
Club Grand Side Amazon Water World,26622.9,21741.3,4881.6,18.34,Overpriced
Hotel Warszawski Alaçatı,9208.0,10380.5,-1172.5,12.73,Overpriced
Sunway Hotel Marmaris,7058.8,9880.4,-2821.6,39.97,Significantly Overpriced
Club Beyy Resort Hotel,7660.8,11918.1,-4257.3,55.57,Significantly Overpriced
Sava Hotel,6356.7,10250.3,-3893.6,61.25,Significantly Overpriced
Tourist Hotel,6479.7,7752.3,-1272.6,19.64,Overpriced
Merhaba Pansiyon,4800.0,9503.9,-4703.9,98.0,Significantly Overpriced
Halikarnas Pansiyon,6400.0,10813.7,-4413.7,68.96,Significantly Overpriced
Mystic Konak,6000.0,12132.0,-6132.0,102.2,Significantly Overpriced
Hera Hotel Kaş,10800.0,13620.4,-2820.4,26.11,Significantly Overpriced
Club Sun Heaven Family Hotel,12542.4,16275.7,-3733.3,29.77,Significantly Overpriced
Olimpos Vadi Otel,12000.0,11144.8,855.2,7.13,Slight Overpriced
Alaroof Butik Otel,16000.0,10278.0,5722.0,35.76,Significantly Overpriced
Vesta Fuar Hotel,6000.0,10921.9,-4921.9,82.03,Significantly Overpriced
Valeri Beach Hotel,13872.3,15263.2,-1390.9,10.03,Overpriced
Titan House Hostel,1400.0,13001.9,-11601.9,828.71,Significantly Overpriced
Vesta Liman Otel,6000.0,10659.6,-4659.6,77.66,Significantly Overpriced
Huma Elit Hotel Lara,10000.0,7408.0,2592.0,25.92,Significantly Overpriced
Örsmaris Boutique Hotel,7933.3,10876.4,-2943.1,37.1,Significantly Overpriced
Sheriff Pansiyon,7200.0,11097.8,-3897.8,54.14,Significantly Overpriced
Cornelia Diamond Golf Resort Spa,17544.0,23370.6,-5826.6,33.21,Significantly Overpriced
Hotel Babaylon,16380.0,14546.5,1833.5,11.19,Overpriced
Kaş Olympos Mocamp,9746.9,11910.2,-2163.3,22.19,Significantly Overpriced
Kadirs Tree Houses,10800.0,10992.3,-192.3,1.78,Fair
Amos Hotel,8342.4,10246.2,-1903.8,22.82,Significantly Overpriced
Yalıhan Aspendos Hotel,16495.2,14014.1,2481.1,15.04,Overpriced
Exporoyal Hotel,3153.4,5775.0,-2621.6,83.14,Significantly Overpriced
Hotel Bleu Nuit,7770.0,10961.1,-3191.1,41.07,Significantly Overpriced
Tuthaliya Boutique Hotel,7200.0,9411.8,-2211.8,30.72,Significantly Overpriced
Kemer Manastır Hotel,10000.0,10380.5,-380.5,3.8,Fair
Yalıyanı Pansiyon,6400.0,11192.4,-4792.4,74.88,Significantly Overpriced
Akkan Beach Hotel,10033.9,11447.6,-1413.7,14.09,Overpriced
Alaçatı Gerence Hotel By Lamira,6300.0,10380.5,-4080.5,64.77,Significantly Overpriced
Casa Dell’arte Hotel Of Arts Leisure,20647.4,13001.9,7645.5,37.03,Significantly Overpriced
Hotel Sun Fire Beach,14696.5,11826.2,2870.3,19.53,Overpriced
Delta Hotels By Marriott Bodrum,16320.0,18151.4,-1831.4,11.22,Overpriced
Leslion Hotel Turunç,8023.4,9465.1,-1441.7,17.97,Overpriced
La Boutique Hotel Suites,14389.3,14549.5,-160.2,1.11,Fair
Akkan Luxury Hotel,13150.3,12977.2,173.1,1.32,Fair
İncekum West Hotel,7936.8,15914.4,-7977.6,100.51,Significantly Overpriced
Casamia Boutique Hotels,16000.0,16188.0,-188.0,1.18,Fair
Side Sunberk Hotel,7590.0,9107.3,-1517.3,19.99,Overpriced
Diamond Elite Hotel Spa,19890.0,18466.8,1423.2,7.16,Slight Overpriced
Palmalife Hotel,21492.0,16421.8,5070.2,23.59,Significantly Overpriced
Kaya Prestige Hotel,13056.0,11966.6,1089.4,8.34,Slight Overpriced
Casaoliva Alaçatı,18770.4,13025.5,5744.9,30.61,Significantly Overpriced
Mirada Exclusive Bodrum,33696.0,24326.0,9370.0,27.81,Significantly Overpriced
Palmetto Resort,32941.1,19556.9,13384.2,40.63,Significantly Overpriced
Kleopatra Arsi Hotel,12178.3,11909.1,269.2,2.21,Fair
Moonshine Hotel Suites,7499.6,8963.1,-1463.5,19.51,Overpriced
Wa Çeşme Farm Hotel,6352.9,15579.5,-9226.6,145.23,Significantly Overpriced
Diamond Premium Hotel Spa,20000.0,23118.2,-3118.2,15.59,Overpriced
Club Hotel Mirabell,12299.4,15585.7,-3286.3,26.72,Significantly Overpriced
Aelbistan Otel,4000.0,10993.1,-6993.1,174.83,Significantly Overpriced
01 Nova Otel,6900.0,9690.1,-2790.1,40.44,Significantly Overpriced
Doubletree By Hilton Antalya City Centre,22884.6,16449.2,6435.4,28.12,Significantly Overpriced
Alanya Beach Hotel,7600.0,11213.8,-3613.8,47.55,Significantly Overpriced
Costa Asmin Hotel,6668.0,5863.7,804.3,12.06,Overpriced
Akalia Suite Hotel Spa,5580.0,8606.2,-3026.2,54.23,Significantly Overpriced
Papirus Hotel Adrasan,11818.4,10516.6,1301.8,11.02,Overpriced
Doubletree By Hilton Bodrum Işıl Club All Inclusive Resort,20400.0,20678.8,-278.8,1.37,Fair
Düşler Evim,7958.4,10128.7,-2170.3,27.27,Significantly Overpriced
Doria Hotel Yacht Club,62251.2,26949.8,35301.4,56.71,Significantly Overpriced
Değirmenburnu Residence,13236.6,8714.9,4521.7,34.16,Significantly Overpriced
Almena City Hotel,3476.0,9116.3,-5640.3,162.26,Significantly Overpriced
Emens Hotel,11000.0,7650.9,3349.1,30.45,Significantly Overpriced
Elysium Green Suites Lara,13296.4,11828.7,1467.7,11.04,Overpriced
Palmea Hotel,7819.9,11237.0,-3417.1,43.7,Significantly Overpriced
Elegance Hotel Marmaris,17722.8,20660.3,-2937.5,16.57,Overpriced
Alanya Risus Park Hotel,5905.9,7700.5,-1794.6,30.39,Significantly Overpriced
Filizce Alaçatı,7000.0,10428.8,-3428.8,48.98,Significantly Overpriced
Falcon 1511,12800.0,11238.9,1561.1,12.2,Overpriced
En Vie Beach Boutique Hotel,10461.6,11959.0,-1497.4,14.31,Overpriced
Güllü Konak,23594.9,14293.3,9301.6,39.42,Significantly Overpriced
Pineta Park Deluxe Hotel,17640.0,15632.6,2007.4,11.38,Overpriced
Foça Antik Otel,11800.0,17554.0,-5754.0,48.76,Significantly Overpriced
Ayhan Hotel Antalya,10811.7,8965.9,1845.8,17.07,Overpriced
Emelda Sun Club,14400.0,21987.3,-7587.3,52.69,Significantly Overpriced
Patara Prince Resort,8868.3,21985.5,-13117.2,147.91,Significantly Overpriced
Amossia Elite Otel,10567.0,9431.1,1135.9,10.75,Overpriced
Bilkay Hotel,5100.0,7276.6,-2176.6,42.68,Significantly Overpriced
Belcan Hotel,2346.2,8607.2,-6261.0,266.86,Significantly Overpriced
Patron Hotel,7200.0,9781.6,-2581.6,35.86,Significantly Overpriced
Ramada Encore By Wyndham İzmir,11969.3,15054.1,-3084.8,25.77,Significantly Overpriced
Blue Bay Beach Hotel,7500.0,11875.0,-4375.0,58.33,Significantly Overpriced
Fortezza Beach Resort,11815.2,17417.8,-5602.6,47.42,Significantly Overpriced
Casa Mimosa,20000.0,14946.2,5053.8,25.27,Significantly Overpriced
Candan City Beach Otel,10000.0,10630.6,-630.6,6.31,Slight Overpriced
Peninsula Gardens Hotel,28080.5,21955.4,6125.1,21.81,Significantly Overpriced
Ramada Plaza By Wyndham İzmir,12780.0,12286.4,493.6,3.86,Fair
Blue Marina Hotel Spa,7617.0,12738.0,-5121.0,67.23,Significantly Overpriced
Can Adalya Palace Hotel,4968.3,9403.2,-4434.9,89.26,Significantly Overpriced
Gümüldür Mavi Deniz Otel,15525.0,12140.6,3384.4,21.8,Significantly Overpriced
Club Marakesh Beach Kemer,5743.2,10557.1,-4813.9,83.82,Significantly Overpriced
Club Sema Suite Hotel,13883.3,12314.2,1569.1,11.3,Overpriced
Çandarlı Resort Otel,5550.0,12312.2,-6762.2,121.84,Significantly Overpriced
Hidayetin Yeri Butik Otel,12000.0,16368.9,-4368.9,36.41,Significantly Overpriced
Belpoint Beach Hotel,5850.0,6661.7,-811.7,13.88,Overpriced
Petunya Konak Butik Otel,15196.0,8083.3,7112.7,46.81,Significantly Overpriced
Amour Alaçatı Butik Otel,15996.0,13235.3,2760.7,17.26,Overpriced
Pyara Hotel Turunç,11654.9,12240.7,-585.8,5.03,Slight Overpriced
Silenos Boutique Hotel,12000.0,18418.9,-6418.9,53.49,Significantly Overpriced
Seçkin Best Hotel Bodrum,8486.4,10277.8,-1791.4,21.11,Significantly Overpriced
Sealife Lounge Hotel,9200.0,8225.8,974.2,10.59,Overpriced
Queen Boutique Hotel,5400.0,8059.8,-2659.8,49.26,Significantly Overpriced
Taşev Butik Otel,7647.2,16786.8,-9139.6,119.52,Significantly Overpriced
